name,itemType,gluten,vegan,vegetarian,sesame,soy,fish,shellfish,dairy,egg,treeNuts,peanuts,wheat,legumes,garlic,mustard,halal,keto,lowFODMAP,dash,lowCarb,description
Flight of Wings,Wings,0,2,2,2,2,2,2,1,0,0,0,0,0,2,0,2,2,2,2,2,"Any three seasonings: General Soho / Sweet Soho Sauce, Sesame Seeds, Fresh Cilantro. Buffalo / Buffalo Sauce, Chicken Chicharrón Salt, Crudité, Dill Pickle Ranch. American BBQ / BBQ Sauce, Crudité, Dill Pickle Ranch. Kentucky Dry / 11 Herbs & Spices, Lemon, Crudité, Dill Pickle Ranch - 58 "
Kale Caesar,Salads + Bowls,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,"Kale, Romaine, Roasted Pine Nuts, Parm, Truffle Chili Croutons, Bacon Bits, House Dressing. ADD: Protein - Herbed Chicken Breast $8 - 16"
Cobb Salad,Salads + Bowls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,"Mixed Greens, Baby Kale, Chicken Breast, Feta Cheese, Bacon, Cherry Tomato, Avocado, Hard Boiled Egg, Spiced Popcorn - 22"
Soho Chop,Salads + Bowls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,"Green Kale, Heirloom Grape Tomatoes, Carrot, Pickled Onions, Avocado, Cucumber, Aged White Cheddar, Bacon, Apple, Green Goddess - 18"
Sashimi Tuna Bowl,Salads + Bowls,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,"Ahi Tuna, Steamed Rice, Avocado, Carrots, Pickled Onion, Cucumbers, Crispy Wontons, Chipotle Aioli, Orange Soy Glaze, Sesame Seeds, Peanuts - 26"
Tortilla Soup,Tortillas + Friends,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,"Cajun Chicken, Avocado, Feta, Spiced Corn, Cilantro, Lime Crema - 14"
Barbacoa Short-Rib Tacos,Tortillas + Friends,1,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,2,2,"Ancho Braised Short-Rib, Cilantro, Mayo, Avocado, Pico Di Gallo, Pickled Cabbage, Flour Tortilla, Lime - 18"
Baja Fish Tacos,Tortillas + Friends,1,2,2,2,0,0,0,0,2,2,0,2,0,2,0,0,2,2,2,2,"Crispy Cod, Chipotle Mayo, Avocado, Pico Di Gallo, Pickled Cabbage, Smoked Corn and Cashew Crema, Flour Tortilla - 18

"
Rib-Eye Quesadilla,Tortillas + Friends,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"Rib-Eye, Roasted Garlic, Cheddar, Herbs, Pickled Peppers, Mexican Crema, Caramelized Onions - 22"
4 Cheese Chicken Quesadilla,Tortillas + Friends,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"Smoked Cajun Chicken, Roasted Garlic, Pico De Gallo, Bacon, Pickled Onions, Green Onions - 22"
Vegan Chorizo Tacos,Tortillas + Friends,2,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,2,2,2,2,
Wagyu Smash Burger,Between Two Breads,1,2,2,0,0,0,0,1,0,0,0,1,0,1,1,2,2,2,2,2,"2 Wagyu Beef Patties, American Cheese, Mustard, Ketchup, Onions, Pickles - 24"
Bacon Burger,Between Two Breads,1,2,2,0,0,0,0,1,0,0,0,1,0,1,0,2,2,2,2,2,"Two Wagyu Beef Patties, American Cheese, Brioche Bun, Applewood Smoked Bacon, Bourbon Bacon BBQ Sauce, Onion straws - 27"
Wild Shampignon Burger,Between Two Breads,2,2,0,0,0,0,0,1,2,0,0,1,2,0,0,0,2,2,2,2,"Cremini & Oyster Mushroom, Cheese, Mushrooms, Lettuce, Lemon Honey Truffle Mayo - 20"
French Dip,Between Two Breads,1,2,2,0,0,0,0,1,0,0,0,1,0,1,0,2,2,2,2,2,"Toasted Ciabatta Bun, Shaved Ribeye, Pepperoncini, Swiss & Mozzarella Cheese, Jalapeño, Beef Short Rib Broth, Horseradish Aioli, Onion Straws - 27"
Fried Crispy Chicken Sandwich,Between Two Breads,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"Crispy Chicken Breast, Pickles, Lettuce, Lemon Honey Truffle Mayo - 20"
Nashville Chicken Sandwich,Between Two Breads,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"Crispy Chicken Breast, Nashville Sauce Bath, Lettuce, Pickles, Lemon Honey Truffle Mayo - 22"
Clubhouse Sandwich,Between Two Breads,1,2,2,0,0,0,0,1,0,0,0,1,0,2,0,2,2,2,2,2,"Grilled Chicken, American Cheese, Bacon, Lettuce, Tomato, Red Cabbage, Mayo - 21"
Yam Fries,Sides,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,"Lemon Truffle Mayo, Chopped Herbs - 12"
Garlic Parm Fries,Sides,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,"Garlic Butter, Parm, Heinz Ketchup - 12"
