name,itemType,shellfish,egg,fish,dairy,molluscs,mustard,peanuts,sesame,soy,sulphites,treeNuts,wheat,gluten,vegetarian,vegan,Image
Kids Keg Fries,KIDS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/auGC7VlvU6495OVeomXC.png
Kids Sautéed Vegetables,KIDS,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/jbcg6NpV4nHmO9QxOAoT.png
Kids Caesar Salad,KIDS,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/S6nRs6oIYl2niWdOoyVy.png
Kids Ice Cream - Plain,KIDS,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/EkyOpjgZIQA9yacawgAk.png
Kids Ice Cream w/ Caramel Sauce,KIDS,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/9dQ1zaAZlMaODUrtLH1O.png
Kids Ice Cream w/ Chocolate Sauce,KIDS,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/dA0uyxUjtPpOlfen6fV6.png
Kids Smoothie Burst of Berry,KIDS,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/UKqIEdTIiTCtN045rIRe.png
Kids Smoothie Just Peachy,KIDS,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/QaU2G2ZhqKJdNP7RUe4n.png
Billy Miner Pie,DESSERT,0,0,0,2,0,0,0,0,2,0,2,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/pd63ruQImI0lqMxI9JDn.png
Cheesecake - Plain,DESSERT,0,2,0,2,0,0,0,0,2,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/1dO4msYepapflY6PHuor.png
Cheesecake with Raspberry Coulis,DESSERT,0,2,0,2,0,0,0,0,2,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/fzKKzq8lYNXriiHQPegf.png
Mile High Chocolate Cake,DESSERT,0,2,0,2,0,0,0,0,2,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/2fyuVBgVcZmB5hfGgJEO.png
Creme Brulee,DESSERT,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/0NjkoyromtiVBJL0GEb3.png
Mini Creme Brulee,DESSERT,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/fmqdS98COOpbnkB0M0K6.png
Lemon Tart,DESSERT,0,2,0,2,0,0,0,0,0,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/Uor0GiYOhCTYbFpPtFtP.png
Billy Miner Pie with Baileys,DESSERT,0,0,0,2,0,0,0,0,2,0,2,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/fz3DA67EoLYkoLSymxLM.png
