name,itemType,gluten,vegan,vegetarian,sesame,soy,fish,shellfish,dairy,egg,treeNuts,peanuts,wheat,garlic,mustard,halal,description,keto,lowFODMAP,dashDiet,lowCarb
True Hart Perogie,Tommy's Poutines,2,2,1,2,2,0,0,2,0,0,0,2,2,0,2,"Potato and cheddar perogies pan tossed with garlic, bacon and onions, topped with cheese curds and gravy",2,2,2,2
The Smoked Hight,Tommy's Poutines,2,2,1,2,2,0,0,2,0,0,0,2,2,0,2,,2,2,2,2
Doc Johnson’s Buffalo Chicken,Tommy's Poutines,2,2,1,2,2,0,0,2,0,0,0,2,2,0,2,"Beer battered fries, Quebec cheese curds, crispy chicken tossed in Frank's Red Hot, and gravy drizzled with ranch dressing",2,2,2,2
The Terminator,Tommy's Poutines,2,2,1,2,2,0,0,2,0,0,0,2,2,0,2,"Beer battered fries, Quebec cheese curds, mozza sticks, bacon, chicken fingers and gravy",2,2,2,2
The Ninja,Tommy's Poutines,2,2,1,2,2,0,0,2,0,0,0,2,2,0,0,"The ultimate poutine experience! Full basket of Sweet Potato fries, half basket of onion rings, five mozza sticks stretched across the top. Layered with feta cheese, 3 cheese blend and curds, smothered in mayo and gravy",2,2,2,2
Fish and Chips,Entrees,2,2,2,0,2,2,0,2,2,0,0,2,2,0,0,Definitely unlike any fish and chips you’ve ever had. Say hello to your new favourite! Beer battered Haddock rolled in smashed black pepper and lime chips.,2,2,2,2
Chicken Fingers,Entrees,2,2,2,0,2,0,0,2,2,0,0,2,0,0,2,,2,2,2,2
Chicken and Waffles,Entrees,2,2,2,0,0,0,0,2,2,0,0,2,0,0,2,,2,2,2,2
Jonny and Jack’s Tennessee style chili,Entrees,1,2,2,0,0,0,0,2,2,0,0,0,2,2,2,,2,2,2,2
Cranky Chicken Quesadilla,Entrees,2,2,1,0,0,0,0,2,0,0,0,2,0,0,2,,2,2,2,2
Vegetarian Quesadilla,Entrees,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0,"Monterey Jack, cheddar, mozzarella, red onions, tomatoes, green peppers, black olives, jalapeños, broccoli and spinach. Served with salsa and sour cream,",2,2,2,2
Gangsta Quesadilla,Entrees,2,2,1,0,2,0,0,2,0,0,0,2,2,0,2,"Guinness Braised Pulled Pork, Crispy Dusted Jalapenos, Blended Cheeses, Diced Hot House Tomatoes and Gangsta sauce! Served with your choice of side",2,2,2,2
Pretty Fellows Pulled Pork Tacos,Entrees,2,2,2,0,0,0,0,2,2,0,0,2,2,2,2,"3 soft shell tacos loaded with Guinness braised pulled pork, crispy deep-fried pickles, onion frizzle and garlic aioli. Served with beer battered fries or chef salad",2,2,2,2
Caulifornia Tacos,Entrees,2,1,0,0,0,0,0,2,2,0,0,2,2,2,0,"Crispy fried cauliflower, avocado, romaine and diced tomato drizzled with Dirty Bama. Served with your choice of Chefs Salad or Beer battered fries",2,2,2,2
Chicken Caesar Wrap,Sandwiches & Wraps,2,2,2,0,0,0,0,2,2,0,0,2,2,2,2,It’s a chicken caesar salad all rolled up. Made with choice of grilled chicken or crispy strips,2,2,2,2
Melted Mozza BLT Wrap,Sandwiches & Wraps,2,2,1,0,0,0,0,2,2,0,0,2,2,2,2,"Bacon, lettuce,and tomato with mango chipotle mayo, gooey mozza sticks and just a drizzle of our house made marinara. All wrapped in a flour tortilla",2,2,2,2
